rr,A,B,X,flip_order,order,repeats,response,subject
64,4.2.3.wav,2.2.5.wav,4.2.5.wav,0,64,2,f,Passi
65,2.1.1.wav,4.1.3.wav,2.1.3.wav,0,65,2,f,Passi
66,3.2.2.wav,3.1.4.wav,3.1.2.wav,1,66,1,l,Passi
67,2.1.1.wav,4.1.3.wav,4.1.1.wav,1,67,3,f,Passi
68,4.1.3.wav,3.1.5.wav,3.1.3.wav,1,68,1,f,Passi
69,2.2.1.wav,1.2.3.wav,1.2.1.wav,0,69,1,f,Passi
70,4.2.2.wav,2.2.4.wav,4.2.4.wav,1,70,1,l,Passi
71,3.2.2.wav,1.2.4.wav,1.2.2.wav,1,71,2,f,Passi
72,2.2.3.wav,1.2.5.wav,1.2.3.wav,0,72,1,l,Passi
73,2.1.3.wav,4.1.5.wav,4.1.3.wav,1,73,2,f,Passi
74,3.1.1.wav,4.1.3.wav,3.1.3.wav,0,74,1,l,Passi
75,2.1.3.wav,1.1.5.wav,1.1.3.wav,0,75,1,l,Passi
76,3.1.2.wav,1.1.4.wav,1.1.2.wav,1,76,1,f,Passi
77,4.1.1.wav,2.1.3.wav,4.1.3.wav,0,77,1,l,Passi
78,3.2.1.wav,1.2.3.wav,1.2.1.wav,0,78,1,l,Passi
79,4.1.3.wav,4.2.5.wav,4.2.3.wav,1,79,1,f,Passi
80,4.2.3.wav,3.2.5.wav,3.2.3.wav,0,80,1,l,Passi
81,4.2.2.wav,4.1.4.wav,4.2.4.wav,1,81,1,l,Passi
82,4.1.1.wav,3.1.3.wav,3.1.1.wav,1,82,1,l,Passi
83,3.2.3.wav,3.1.5.wav,3.2.5.wav,0,83,2,f,Passi
84,2.1.2.wav,1.1.4.wav,2.1.4.wav,0,84,2,l,Passi
85,2.2.3.wav,2.1.5.wav,2.1.3.wav,0,85,2,f,Passi
86,2.2.1.wav,2.1.3.wav,2.2.3.wav,1,86,1,f,Passi
87,1.1.1.wav,3.1.3.wav,1.1.3.wav,1,87,1,l,Passi
88,1.2.1.wav,3.2.3.wav,3.2.1.wav,1,88,2,f,Passi
89,1.2.2.wav,3.2.4.wav,3.2.2.wav,0,89,2,f,Passi
90,2.1.3.wav,4.1.5.wav,2.1.5.wav,1,90,2,f,Passi
91,1.2.3.wav,2.2.5.wav,1.2.5.wav,0,91,1,f,Passi
92,3.1.2.wav,4.1.4.wav,4.1.2.wav,0,92,1,f,Passi
93,3.2.3.wav,4.2.5.wav,4.2.3.wav,1,93,2,f,Passi
94,1.1.3.wav,3.1.5.wav,1.1.5.wav,1,94,2,l,Passi
95,4.1.2.wav,4.2.4.wav,4.1.4.wav,0,95,2,l,Passi
96,2.2.2.wav,1.2.4.wav,2.2.4.wav,1,96,1,f,Passi
97,1.1.1.wav,2.1.3.wav,2.1.1.wav,1,97,1,l,Passi
98,2.1.2.wav,4.1.4.wav,4.1.2.wav,0,98,2,f,Passi
99,2.2.1.wav,2.1.3.wav,2.1.1.wav,0,99,1,f,Passi
100,2.1.2.wav,1.1.4.wav,1.1.2.wav,0,100,1,l,Passi
101,4.1.1.wav,3.1.3.wav,4.1.3.wav,0,101,1,l,Passi
102,3.1.2.wav,4.1.4.wav,3.1.4.wav,0,102,1,f,Passi
103,1.2.2.wav,3.2.4.wav,1.2.4.wav,1,103,2,f,Passi
104,1.2.3.wav,3.2.5.wav,3.2.3.wav,1,104,1,f,Passi
105,2.2.3.wav,2.1.5.wav,2.2.5.wav,0,105,1,l,Passi
106,1.1.2.wav,1.2.4.wav,1.2.2.wav,0,106,2,f,Passi
107,4.2.2.wav,3.2.4.wav,3.2.2.wav,0,107,1,l,Passi
108,3.2.1.wav,3.1.3.wav,3.1.1.wav,1,108,2,f,Passi
109,3.2.1.wav,1.2.3.wav,3.2.3.wav,1,109,1,f,Passi
110,3.2.3.wav,1.2.5.wav,3.2.5.wav,0,110,2,f,Passi
111,3.1.2.wav,3.2.4.wav,3.2.2.wav,0,111,1,l,Passi
112,2.1.2.wav,2.2.4.wav,2.1.4.wav,0,112,1,f,Passi
113,3.2.3.wav,4.2.5.wav,3.2.5.wav,0,113,1,f,Passi
114,4.1.1.wav,2.1.3.wav,2.1.1.wav,0,114,3,l,Passi
115,3.1.3.wav,3.2.5.wav,3.2.3.wav,1,115,2,f,Passi
116,1.1.3.wav,3.1.5.wav,3.1.3.wav,0,116,1,l,Passi
117,3.1.3.wav,4.1.5.wav,3.1.5.wav,1,117,2,f,Passi
118,1.2.1.wav,1.1.3.wav,1.2.3.wav,0,118,1,l,Passi
